,k,algorithm,mean_cut,median_cut,std_cut,min_cut,max_cut,mean_runtime,total_runtime,success_rate
0,2,greedy,25.016293574027216,17.76570717711387,17.72835539740434,7.012096512301662,62.81649588950338,0.00120089054107666,0.024017810821533203,1.0
1,2,spectral,20.12523796611357,15.205894392420527,16.74052354237253,5.116850530388708,74.17833432533169,0.02547973394393921,0.5095946788787842,1.0
2,2,gw_sdp,31.49620200853267,20.669970888465784,23.530859672337492,7.475017596643219,77.38452381256833,0.018587112426757812,0.37174224853515625,1.0
3,3,greedy,33.74990837342927,22.901587837455345,24.742845067416358,9.217123465856002,84.34023965275259,0.0017016768455505372,0.03403353691101074,1.0
4,3,spectral,29.483786808240655,18.82346324617116,22.5550988442695,9.809382347986514,85.05874992923788,0.025952255725860594,0.5190451145172119,1.0
5,3,gw_sdp,38.910106126605555,25.48849525701138,29.551133629387415,10.363690956370762,100.5497927764566,0.04918253421783447,0.9836506843566895,1.0
6,4,greedy,37.492924682808436,24.654579152907154,28.3906669716716,9.688190837513496,95.34682020193374,0.002201664447784424,0.04403328895568848,1.0
7,4,spectral,36.57692225198153,22.651646232657285,27.27131052818649,9.809382347986514,98.31690396936835,0.025914430618286133,0.5182886123657227,1.0
8,4,gw_sdp,41.44157923955789,28.289532392332745,31.804900288220235,10.549189579668283,106.54671618017063,0.04531869888305664,0.9063739776611328,1.0
