,k,algorithm,mean_cut,median_cut,std_cut,mean_runtime,total_runtime,dataset
0,2,greedy,3.357285316772281,3.3604282013770876,1.0675011249778001,0.001205892562866211,0.06029462814331055,Isolated
1,2,spectral,1.3234830974078167,1.2489479953052893,0.7151891760104435,0.024636306762695313,1.2318153381347656,Isolated
2,3,greedy,3.6635556773892133,3.7643430564175473,1.1787691393117505,0.0017889022827148437,0.08944511413574219,Isolated
3,3,spectral,2.21998887857753,2.095334547295514,0.8771098176956339,0.024854931831359863,1.2427465915679932,Isolated
4,4,greedy,3.8032751953919974,3.8314113429525674,1.2096784845927844,0.0022707319259643553,0.11353659629821777,Isolated
5,4,spectral,2.7951186979367235,2.713327834854958,1.0942234419690997,0.024999523162841798,1.2499761581420898,Isolated
6,2,greedy,11.680801339382548,11.372904492386406,2.3503192809286944,0.0013156986236572265,0.06578493118286133,Transitioning
7,2,spectral,7.476124329191698,6.621880963714352,4.211275137784378,0.02635158061981201,1.3175790309906006,Transitioning
8,3,greedy,13.836291598416526,13.293803120153152,2.9259935624257563,0.001762700080871582,0.0881350040435791,Transitioning
9,3,spectral,11.186381761536145,11.063330817393805,3.4528306736678394,0.026715350151062012,1.3357675075531006,Transitioning
10,4,greedy,14.69408685601242,14.193523818244763,3.112441516379315,0.002284970283508301,0.11424851417541504,Transitioning
11,4,spectral,12.936251979443155,12.445705705786128,3.2290332748222874,0.02656298637390137,1.3281493186950684,Transitioning
12,2,greedy,12.03959249242946,11.994339601319655,2.6982695221528,0.001341099739074707,0.06705498695373535,Extremely Sparse
13,2,spectral,9.09009103900451,8.856742030999321,4.451714923786018,0.026199750900268555,1.3099875450134277,Extremely Sparse
14,3,greedy,14.665211048455687,14.911094359682247,3.312572834169396,0.0018213367462158203,0.09106683731079102,Extremely Sparse
15,3,spectral,11.51615716514403,11.74467044101608,3.83344473841877,0.02640066623687744,1.320033311843872,Extremely Sparse
16,4,greedy,15.536580816968332,15.710954704589907,3.6012138833209653,0.0023843526840209963,0.1192176342010498,Extremely Sparse
17,4,spectral,13.638482065451425,13.8089679686965,3.7540746653855592,0.0267155122756958,1.33577561378479,Extremely Sparse
18,2,greedy,5.701738279988785,5.3145274917304075,1.9319546548854492,0.00130950927734375,0.0654754638671875,Very Sparse
19,2,spectral,2.9724293882158697,2.7097966065827856,1.853525658182794,0.027573556900024415,1.3786778450012207,Very Sparse
20,3,greedy,6.353290880082358,5.997457738731542,2.172938442171219,0.0018234682083129884,0.09117341041564941,Very Sparse
21,3,spectral,4.133088448670241,3.703277072990115,1.7686425653787377,0.028202686309814453,1.4101343154907227,Very Sparse
22,4,greedy,6.646671745043555,6.229842236551017,2.2811703493195004,0.0024447154998779295,0.12223577499389648,Very Sparse
23,4,spectral,5.138689452927389,4.869006587094937,2.009372930810448,0.028150296211242674,1.4075148105621338,Very Sparse
24,2,greedy,12.95823892882298,12.654617440707902,3.3044899937603307,0.0012804937362670898,0.06402468681335449,Moderately Sparse
25,2,spectral,8.401116488938522,8.377696369096535,4.047157867004506,0.02576511859893799,1.2882559299468994,Moderately Sparse
26,3,greedy,15.679212451455355,14.847372961193736,4.267272964978274,0.001744852066040039,0.08724260330200195,Moderately Sparse
27,3,spectral,12.041802572872921,11.07556946461901,4.981342179322836,0.026550421714782713,1.3275210857391357,Moderately Sparse
28,4,greedy,16.719370104696154,16.01345693137187,4.748806465031813,0.0022426795959472655,0.11213397979736328,Moderately Sparse
29,4,spectral,14.370438136993748,13.421192706534613,5.093283426566551,0.02631800651550293,1.3159003257751465,Moderately Sparse
30,2,greedy,23.255784721583915,22.28279834789648,5.1841707934380405,0.001272125244140625,0.06360626220703125,Moderately Dense
31,2,spectral,15.833451085277911,16.09005091553616,8.015560502056028,0.026258869171142576,1.312943458557129,Moderately Dense
32,3,greedy,30.420063231908497,29.966775661861348,6.716617406184591,0.0017852115631103516,0.08926057815551758,Moderately Dense
33,3,spectral,24.953551244573195,24.5229432690998,8.972021875068506,0.026496467590332032,1.3248233795166016,Moderately Dense
34,4,greedy,33.08600454405086,31.99043940556236,7.591559684790481,0.002328615188598633,0.11643075942993164,Moderately Dense
35,4,spectral,28.702139211727758,27.27798239289982,8.563503681150396,0.02666811943054199,1.3334059715270996,Moderately Dense
36,2,greedy,31.941564721359097,31.313394535624266,6.545634205582136,0.0012631797790527343,0.06315898895263672,Very Dense
37,2,spectral,21.30276142751554,19.751508892343477,11.3334725822981,0.024859256744384765,1.2429628372192383,Very Dense
38,3,greedy,42.876509639694824,41.91548415036874,8.789975837808322,0.001731572151184082,0.0865786075592041,Very Dense
39,3,spectral,31.732462778460512,32.311623323740875,9.274453897330837,0.02561652660369873,1.2808263301849365,Very Dense
40,4,greedy,47.638698484525996,46.885007494331816,9.997559528345581,0.0022707033157348634,0.11353516578674316,Very Dense
41,4,spectral,41.41569702080136,40.01902819931857,9.694660793209696,0.025752406120300293,1.2876203060150146,Very Dense
